'2019-11-26 19:01:37,896 - [testcases.py-->line:31] - INFO: 用例：正常登录---执行通过'
'2019-11-26 19:01:38,017 - [testcases.py-->line:31] - INFO: 用例：密码错误---执行通过'
'2019-11-26 19:01:38,042 - [testcases.py-->line:31] - INFO: 用例：账户名错误---执行通过'
'2019-11-26 19:01:38,114 - [testcases.py-->line:27] - INFO: 用例：账号为空---执行未通过'
'2019-11-26 19:01:38,179 - [testcases.py-->line:27] - INFO: 用例：密码为空---执行未通过'
'2019-11-26 19:01:38,180 - [testcases.py-->line:50] - INFO: 用例：正常登录---执行通过'
'2019-11-26 19:01:38,222 - [testcases.py-->line:50] - INFO: 用例：用户已存在---执行通过'
'2019-11-26 19:01:38,280 - [testcases.py-->line:50] - INFO: 用例：用户名为空---执行通过'
'2019-11-26 19:01:38,331 - [testcases.py-->line:50] - INFO: 用例：密码为空---执行通过'
'2019-11-26 19:01:38,375 - [testcases.py-->line:50] - INFO: 用例：两次密码不一样---执行通过'
'2019-11-26 19:01:38,421 - [testcases.py-->line:50] - INFO: 用例：用户名小于6位---执行通过'
'2019-11-26 19:01:38,493 - [testcases.py-->line:47] - INFO: 用例：用户名超过18---执行未通过'
'2019-11-26 19:01:38,494 - [testcases.py-->line:50] - INFO: 用例：密码小于6位---执行通过'
'2019-11-26 19:01:38,526 - [testcases.py-->line:50] - INFO: 用例：密码超过18---执行通过'
'2019-11-28 19:35:40,883 - [testcases.py-->line:34] - INFO: 用例：正常登录---执行通过'
'2019-11-28 19:35:40,993 - [testcases.py-->line:34] - INFO: 用例：密码错误---执行通过'
'2019-11-28 19:35:41,025 - [testcases.py-->line:34] - INFO: 用例：账户名错误---执行通过'
'2019-11-28 19:35:41,131 - [testcases.py-->line:30] - INFO: 用例：账号为空---执行未通过'
'2019-11-28 19:35:41,173 - [testcases.py-->line:30] - INFO: 用例：密码为空---执行未通过'
'2019-11-28 19:35:41,175 - [testcases.py-->line:54] - INFO: 用例：正常登录---执行通过'
'2019-11-28 19:35:41,201 - [testcases.py-->line:54] - INFO: 用例：用户已存在---执行通过'
'2019-11-28 19:35:41,231 - [testcases.py-->line:54] - INFO: 用例：用户名为空---执行通过'
'2019-11-28 19:35:41,257 - [testcases.py-->line:54] - INFO: 用例：密码为空---执行通过'
'2019-11-28 19:35:41,291 - [testcases.py-->line:54] - INFO: 用例：两次密码不一样---执行通过'
'2019-11-28 19:35:41,318 - [testcases.py-->line:54] - INFO: 用例：用户名小于6位---执行通过'
